dates,N_tests,N_student_tests,N_employee_tests,N_cases
2020-08-17,615,564,51,0
2020-08-18,1208,1194,14,2
2020-08-19,889,859,30,1
2020-08-20,1083,1042,41,1
2020-08-21,761,705,56,0
2020-08-22,0,0,0,0
2020-08-23,1126,1126,0,0
2020-08-24,1475,1468,7,1
2020-08-25,2025,1992,33,2
2020-08-26,1255,1183,72,0
2020-08-27,1689,1614,75,1
2020-08-28,1646,1623,23,9
2020-08-29,850,846,4,2
2020-08-30,28,28,0,1
2020-08-31,1484,1433,51,5
2020-09-01,1213,1125,88,7
2020-09-02,348,317,31,12
2020-09-03,4621,4213,408,12
2020-09-04,4954,4094,860,14
2020-09-05,2840,2772,68,6
2020-09-06,2893,2855,38,5
2020-09-07,5081,4409,672,6
2020-09-08,4748,4223,525,3
2020-09-09,3778,3778,98,13
2020-09-10,5145,4663,482,6
2020-09-11,5135,4280,855,4
2020-09-12,2793,2715,78,3
2020-09-13,2924,2881,43,0
2020-09-14,5987,4915,1072,0
2020-09-15,5231,4229,1002,0
2020-09-16,4981,3744,1237,1
2020-09-17,5531,4567,964,0
2020-09-18,5501,4374,1127,1
2020-09-19,2717,2624,93,0
2020-09-20,2816,2746,70,1
2020-09-21,5973,4873,1100,2
2020-09-22,5286,4169,1117,1
2020-09-23,5239,3909,1330,1
2020-09-24,5893,4742,1151,0
2020-09-25,5777,4546,1231,1
2020-09-26,2677,2572,105,1
2020-09-27,3107,3025,82,0
2020-09-28,6290,5055,1235,1
2020-09-29,5716,4479,1237,1
2020-09-30,5501,4105,1396,0
2020-10-01,5902,4787,1115,0
2020-10-02,5882,4632,1250,2
2020-10-03,2924,2795,129,0
2020-10-04,2981,2873,108,0
2020-10-05,6410,5146,1264,2
2020-10-06,5642,4380,1262,1
2020-10-07,5356,3927,1429,1
2020-10-08,5861,4723,1138,1
2020-10-09,5965,4701,1264,0
2020-10-10,2768,2649,119,0
2020-10-11,3052,2951,101,0
2020-10-12,6215,5044,1171,0
2020-10-13,5546,4324,1222,0
2020-10-14,5230,3855,1375,2
2020-10-15,5955,4867,1088,3
2020-10-16,5852,4597,1255,1
2020-10-17,2878,2748,130,1
2020-10-18,2932,2828,104,0
2020-10-19,6259,5057,1202,3
2020-10-20,5661,4420,1241,0
2020-10-21,5419,4000,1419,3
2020-10-22,5815,4749,1066,1
2020-10-23,5813,4568,1245,2
2020-10-24,2831,2703,128,0
2020-10-25,3056,2941,115,0
2020-10-26,6341,5109,1232,0
2020-10-27,5658,4405,1253,0
2020-10-28,5305,3914,1391,3
2020-10-29,5767,4657,1110,2
2020-10-30,5857,4554,1303,4
2020-10-31,2833,2707,126,0
2020-11-01,2958,2858,100,1
2020-11-02,6247,5013,1234,1
2020-11-03,5601,4392,1209,2
2020-11-04,5288,3910,1378,5
2020-11-05,5854,4650,1204,2
2020-11-06,5735,4472,1263,2
2020-11-07,2776,2655,121,1
2020-11-08,2990,2894,96,1
2020-11-09,6247,5028,1219,2
2020-11-10,5574,4342,1232,0
2020-11-11,5346,3926,1420,6
2020-11-12,5802,4670,1132,14
2020-11-13,5966,4542,1424,9
2020-11-14,2878,2714,164,6
2020-11-15,2800,2688,112,2
2020-11-16,5883,4532,1351,2
2020-11-17,5210,3923,1287,1
2020-11-18,4973,3509,1464,0
2020-11-19,5132,3921,1211,2
2020-11-20,5214,3739,1475,11
2020-11-21,2384,2218,166,2
2020-11-22,2129,1979,150,2
2020-11-23,4363,2885,1478,4
2020-11-24,3821,2296,1525,3
2020-11-25,39,22,17,3
2020-11-26,0,NA,0,4
2020-11-27,2467,2326,141,1
2020-11-28,1019,931,88,0
2020-11-29,1156,1104,52,3
2020-11-30,3681,2379,1302,4
2020-12-01,3095,1819,1276,9
2020-12-02,2668,1278,1390,3
2020-12-03,3175,1960,1215,7
2020-12-04,3682,2241,1441,3
2020-12-05,149,102,47,3
2020-12-06,24,6,18,4
2020-12-07,3946,2657,1289,4
2020-12-08,3065,1795,1270,8
2020-12-09,2650,1282,1368,2
2020-12-10,2935,1710,1225,2
2020-12-11,3887,2455,1432,8
2020-12-12,104,58,46,6
2020-12-13,27,4,23,3
2020-12-14,3673,2398,1275,4
2020-12-15,2943,1593,1350,2
2020-12-16,2527,1098,1429,5
2020-12-17,2060,1289,771,4
2020-12-18,3750,2130,1620,4
2020-12-19,163,99,64,5
2020-12-20,62,16,46,3
2020-12-21,2926,1529,1397,3
2020-12-22,2719,1020,1699,2
2020-12-23,2135,632,1503,1
2020-12-24,74,11,63,8
2020-12-25,18,NA,18,0
2020-12-26,1370,1158,212,1
2020-12-27,68,9,59,1
2020-12-28,1628,950,678,9
2020-12-29,1465,674,791,6
2020-12-30,1300,552,748,3
2020-12-31,68,14,54,5
2021-01-01,18,NA,18,1
2021-01-02,1855,1340,515,4
2021-01-03,47,12,35,1
2021-01-04,2846,934,1912,2
2021-01-05,1860,698,1162,9
