Number of tests,12/9/20,"2,650"
Number of tests,12/10/20,"2,935"
Number of tests,12/11/20,"3,889"
Number of tests,12/12/20,104
Number of tests,12/13/20,27
Number of tests,12/14/20,"3,675"
Number of tests,12/15/20,"2,984"
Number of student tests,12/9/20,"1,282"
Number of student tests,12/10/20,"1,710"
Number of student tests,12/11/20,"2,455"
Number of student tests,12/12/20,58
Number of student tests,12/13/20,4
Number of student tests,12/14/20,"2,398"
Number of student tests,12/15/20,"1,688"
Number of employee tests,12/9/20,"1,368"
Number of employee tests,12/10/20,"1,225"
Number of employee tests,12/11/20,"1,434"
Number of employee tests,12/12/20,46
Number of employee tests,12/13/20,23
Number of employee tests,12/14/20,"1,277"
Number of employee tests,12/15/20,"1,296"
"New Confirmed Positive, Total",12/9/20,2
"New Confirmed Positive, Total",12/10/20,2
"New Confirmed Positive, Total",12/11/20,8
"New Confirmed Positive, Total",12/12/20,6
"New Confirmed Positive, Total",12/13/20,3
"New Confirmed Positive, Total",12/14/20,4
"New Confirmed Positive, Total",12/15/20,2
Number of tests,Total,"16,264"
Number of student tests,Total,"9,595"
Number of employee tests,Total,"6,669"
New confirmed positives,Total,27
